gene_ID,control_12,control_26,control_11,control_14,control_6,GBM_27,GBM_29,GBM_3,GBM_8,GBM_9,metastasis_21,metastasis_22,metastasis_23,metastasis_28,metastasis_30,control_15,metastasis_16
ENSG00000108861,440,725,1364,1327,1314,559,35,1691,1192,1507,1,25,55,490,559,2055,2002
ENSG00000231256,6,0,30,9,8,6,0,1,0,6,0,0,5,4,3,81,13
ENSG00000161647,9,7,35,21,31,313,58,192,22,17,0,23,40,161,290,0,114
ENSG00000161649,0,10,84,1,133,0,3,0,0,0,0,0,7,4,0,6,0
ENSG00000108852,27,65,144,37,226,150,24,180,115,30,1,0,3,14,76,48,32
ENSG00000108849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131096,0,0,3,0,0,2,0,0,1,10,0,0,0,1,3,12,0
ENSG00000161653,53,20,203,82,18,184,1,34,23,35,0,0,29,65,110,93,35
ENSG00000091947,118,291,385,305,348,126,16,340,303,342,0,44,8,100,162,472,224
ENSG00000161654,23,35,66,79,56,60,3,112,138,110,0,0,8,12,37,115,81
ENSG00000141349,176,319,489,518,534,209,24,705,810,703,8,12,23,90,135,397,508
ENSG00000108840,517,1124,2210,1388,2606,2276,248,2547,1818,1774,0,151,130,744,1585,4134,1716
ENSG00000125319,5,0,9,14,20,36,1,65,13,24,1,0,0,5,11,140,25
ENSG00000161664,0,2,1,3,11,0,0,2,0,1,0,0,0,0,5,0,0
ENSG00000168591,63,199,435,409,332,198,21,419,426,458,0,1,9,93,154,323,1037
ENSG00000087152,449,488,843,1032,887,864,123,1196,998,916,3,95,86,325,492,1408,1954
ENSG00000108312,1430,3276,3523,2969,4580,2711,831,4099,3150,3199,14,287,407,1589,2666,5135,2130
ENSG00000004939,8,0,15,13,0,8,2,1,3,0,2,2,0,0,1,37,6
ENSG00000108309,112,92,103,82,239,167,57,176,103,33,0,7,11,12,49,184,19
ENSG00000013306,183,258,609,605,695,414,96,1026,1229,1145,0,20,52,255,325,721,947
ENSG00000030582,1471,3478,4751,7114,5557,1697,115,10440,16877,16955,4,146,147,629,1220,8334,38881
ENSG00000161682,40,90,153,43,232,309,54,398,88,77,26,3,10,26,149,291,11
ENSG00000005961,232,66,591,604,42,224,49,200,46,185,4,16,17,122,117,1891,460
ENSG00000186566,870,1683,2451,2415,2678,2011,183,3212,2440,2183,18,264,119,818,1437,2822,1573
ENSG00000180340,52,61,69,282,166,21,9,55,120,92,0,0,1,0,6,206,32
ENSG00000180336,4,4,9,12,5,3,0,6,6,12,12,3,0,1,2,0,0
ENSG00000180329,371,503,760,569,789,229,77,863,773,769,9,21,53,152,285,627,540
ENSG00000279879,3,9,23,20,23,5,1,5,6,17,0,0,0,1,5,16,1
ENSG00000161692,45,49,87,88,71,150,21,322,78,58,0,6,6,111,86,86,59
ENSG00000073670,26,32,22,23,46,27,29,115,10,7,2,0,0,7,6,0,17
ENSG00000182963,306,726,2154,210,2556,897,57,3091,388,1173,0,23,68,171,650,404,224
ENSG00000131097,26,391,636,48,1157,85,18,346,100,101,0,0,72,3,61,247,16
ENSG00000108883,793,826,1405,1789,1268,891,126,2699,2463,2741,10,96,139,556,667,1677,2261
ENSG00000167131,4,5,9,13,16,23,2,27,22,24,17,0,13,40,1,112,2
ENSG00000214447,4,3,9,13,16,22,2,24,22,21,17,0,13,40,1,112,2
ENSG00000131095,4026,1338,15049,4480,11055,52426,16637,9561,32004,8033,42,17,409,817,4396,5746,639
ENSG00000186185,5,5,0,15,21,89,14,363,41,102,0,3,6,29,45,0,24
ENSG00000131094,9,1,11,4,38,485,2,74,73,23,0,0,0,293,51,1,0
ENSG00000172992,125,198,345,230,387,257,27,585,331,386,0,0,10,90,103,252,171
ENSG00000136448,886,1091,1856,2184,1547,1180,106,2244,2113,1975,5,115,87,827,824,2958,1489
ENSG00000161714,336,187,589,158,469,681,157,196,411,147,1,10,49,201,386,654,84
ENSG00000181513,57,116,214,310,142,193,69,160,170,118,3,11,5,200,147,460,17
ENSG00000186834,265,309,615,461,569,345,58,502,412,496,5,7,23,233,301,509,585
ENSG00000168517,29,28,50,65,47,23,9,55,77,48,0,0,0,26,19,61,59
ENSG00000184922,1224,1331,1109,4269,2245,261,138,2061,6304,6045,1,60,59,379,183,4554,21755
ENSG00000184361,0,0,2,0,2,1,0,2,0,0,0,0,0,3,2,0,0
ENSG00000006062,476,795,707,1009,784,556,95,521,439,361,6,46,15,506,309,955,305
ENSG00000199953,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,2
ENSG00000159314,1127,1068,1339,2965,1518,1547,260,1223,2037,1623,9,177,111,894,1394,4498,1652
ENSG00000225190,314,361,730,736,691,531,94,861,689,904,10,57,32,319,494,1163,2794
ENSG00000266918,1,0,10,1,0,0,0,6,0,0,0,0,0,0,3,8,0
ENSG00000280022,0,0,0,3,1,0,0,2,10,4,0,0,0,0,8,0,0
ENSG00000263715,8,25,72,30,10,8,0,19,7,24,0,0,0,0,4,27,1
ENSG00000120088,5,0,0,0,0,3,0,7,0,0,0,0,0,0,4,14,0
ENSG00000185294,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
ENSG00000186868,111,83,227,79,287,680,110,1010,271,158,1,0,1,86,72,90,1
ENSG00000256762,1,0,0,0,0,3,0,18,0,1,0,0,0,0,0,0,0
ENSG00000120071,474,931,3278,2067,1835,1367,226,3080,1672,1539,2,277,112,840,1474,2745,1046
